# Frame_ID, Timestamp(ns), X(m), Y(m), Z(m), Qw, Qx, Qy, Qz
267, 8554070472, 0.162164, 0.029035, -0.054022, 0.911648, 0.188106, 0.103194, 0.350522
268, 8587433338, 0.163341, 0.032395, -0.057136, 0.908700, 0.192440, 0.102142, 0.356088
269, 8620818376, 0.164492, 0.031786, -0.058318, 0.906103, 0.195000, 0.102135, 0.361278
270, 8654232978, 0.164652, 0.034054, -0.059983, 0.905310, 0.195627, 0.102886, 0.362709
271, 8688353300, 0.165471, 0.033628, -0.059769, 0.906428, 0.196272, 0.104107, 0.359203
272, 8721444368, 0.163193, 0.033516, -0.059383, 0.908665, 0.195966, 0.103356, 0.353896
273, 8755450487, 0.161301, 0.029505, -0.055245, 0.911410, 0.194096, 0.101411, 0.348388
274, 8787917852, 0.159060, 0.029683, -0.053431, 0.914797, 0.191300, 0.097416, 0.342143
275, 8821561098, 0.157084, 0.024987, -0.046969, 0.919252, 0.187903, 0.091419, 0.333634
276, 8854841232, 0.152597, 0.025023, -0.043287, 0.925164, 0.184080, 0.084866, 0.320911
277, 8888220071, 0.148255, 0.023229, -0.038697, 0.931716, 0.178973, 0.079850, 0.305775
278, 8921663522, 0.138808, 0.028210, -0.035484, 0.938369, 0.174717, 0.074859, 0.288676
279, 8955017089, 0.130794, 0.028164, -0.028337, 0.945792, 0.167486, 0.068000, 0.269820
280, 8988471031, 0.120298, 0.030924, -0.022126, 0.953503, 0.158116, 0.062143, 0.248938
281, 9021814107, 0.110102, 0.033014, -0.018778, 0.960372, 0.149495, 0.056803, 0.228277
282, 9055236577, 0.102076, 0.037595, -0.016552, 0.966136, 0.141468, 0.047849, 0.210424
283, 9088648796, 0.093075, 0.043092, -0.019180, 0.971294, 0.134009, 0.038441, 0.192748
284, 9122137546, 0.081003, 0.045295, -0.023315, 0.975787, 0.132106, 0.025156, 0.172498
285, 9155552148, 0.076603, 0.047810, -0.024901, 0.979728, 0.132501, 0.012086, 0.149768
286, 9189658164, 0.072026, 0.049088, -0.024452, 0.983112, 0.131597, 0.001463, 0.127168
287, 9222429037, 0.068671, 0.052026, -0.025548, 0.985916, 0.127738, -0.009298, 0.107547
288, 9255842924, 0.064651, 0.053947, -0.025756, 0.988045, 0.124036, -0.019510, 0.089456
289, 9289199829, 0.058900, 0.056213, -0.023159, 0.989752, 0.118840, -0.027771, 0.074145
290, 9322564840, 0.053831, 0.056614, -0.019314, 0.991209, 0.110680, -0.034848, 0.063569
291, 9356037139, 0.050581, 0.057177, -0.017240, 0.992058, 0.105152, -0.040859, 0.055622
292, 9389396429, 0.049749, 0.057925, -0.017654, 0.992396, 0.103744, -0.043884, 0.049608
293, 9422781705, 0.048511, 0.058347, -0.017670, 0.992345, 0.104914, -0.046774, 0.045345
294, 9456162929, 0.048263, 0.058924, -0.018339, 0.992194, 0.106406, -0.049866, 0.041748
295, 9489602327, 0.046983, 0.059297, -0.018878, 0.992034, 0.108758, -0.052082, 0.036448
296, 9523073196, 0.046537, 0.059853, -0.019540, 0.991801, 0.111827, -0.054738, 0.028787
297, 9556409835, 0.045280, 0.059893, -0.019558, 0.991617, 0.113630, -0.058311, 0.019607
298, 9589811563, 0.044539, 0.060325, -0.019914, 0.991400, 0.114352, -0.062721, 0.010785
299, 9623210430, 0.043901, 0.060652, -0.020616, 0.991071, 0.115546, -0.066421, 0.003959
300, 9656556129, 0.042996, 0.061029, -0.020307, 0.990961, 0.116124, -0.067169, 0.000341
301, 9690646171, 0.042344, 0.061267, -0.019825, 0.991028, 0.115659, -0.066968, -0.001155
302, 9723427295, 0.042196, 0.061373, -0.019806, 0.991066, 0.115289, -0.067007, -0.002688
303, 9756834030, 0.041748, 0.061449, -0.019336, 0.991185, 0.113890, -0.067509, -0.004818
304, 9791234731, 0.041150, 0.061529, -0.018588, 0.991372, 0.111241, -0.069007, -0.006712
